Date,Distric,Location,Latitude,Longitude,Rainfalls_mm,Relative_Humidity_Day,Relative_Humidity_Night,Temperature_Min,Temperature_Max,Average_Wind_Speed_km/h,Land Cover,Landform,Disaster Occurrence,Disaster Type,Severity,Nearest Shelter_km
5/28/2021,Rathnapura,Embilipitiya,6.6228,80.1178,2.1,79,91,24.5,31.4,2.7,Urban,Valley,No,No,No,16.7
7/22/2016,Rathnapura,Pelmadulla,6.2992,80.2627,0,67,80,25.4,31.5,3.1,Forest,Mountain,No,No,No,8
7/23/2016,Rathnapura,Nivithigala,6.2829,80.7728,5.1,67,95,25.2,32.1,2.5,Urban,Valley,No,No,No,8.9
5/9/2021,Rathnapura,Godakawela,6.2829,80.7728,25.2,77,98,23,34.4,1.8,Forest,Valley,Yes,Flood,High,8
2/5/2021,Rathnapura,Weligepola,6.6228,80.1178,0,69,96,21.4,32.2,2.5,Forest,Valley,No,No,No,9.5
6/7/2016,Rathnapura,Elapatha,6.7182,80.3129,25.9,82,98,23.9,31.6,2.5,Urban,Valley,No,No,No,12.5
5/16/2016,Rathnapura,Nivithigala,6.6828,80.3992,63.1,93,97,22.6,25.9,2.3,Forest,Plateau,Yes,Landslide,Medium,14.1
8/25/2016,Rathnapura,Godakawela,6.6228,80.1178,1,79,89,24.2,29.7,1.6,Grassland,Mountain,No,No,No,14.1
3/23/2016,Rathnapura,Nivithigala,6.9826,80.6728,0,65,90,23.6,35.8,2.5,Forest,Valley,No,No,No,9.2
7/13/2016,Rathnapura,Opanayaka,6.9826,80.6728,0.3,71,89,22.3,31.2,2.7,Urban,Valley,No,No,No,12.5
2/25/2016,Rathnapura,Pelmadulla,6.6228,80.1178,4.6,87,99,24,32.5,1.6,Urban,Valley,No,No,No,16.7
5/17/2021,Rathnapura,Weligepola,6.3993,80.6283,0,65,90,23.7,34.3,1.8,Forest,Valley,No,No,No,7.4
3/7/2016,Rathnapura,Balangoda,6.6828,80.3992,32.6,65,96,23.3,35,2.5,Forest,Valley,Yes,Flood,Medium,8
2/20/2016,Rathnapura,Rathnapura,6.2829,80.7728,4.5,85,98,23.8,32.9,2.7,Forest,Valley,Yes,Flood,Medium,12.5
6/5/2021,Rathnapura,Opanayaka,6.2992,80.2627,5.5,84,84,23.3,30.5,3,Grassland,Mountain,Yes,LandSlide,High,10.1
2/9/2016,Rathnapura,Pelmadulla,6.7182,80.3129,2.6,76,96,24.1,35.1,2.3,Forest,Plateau,No,No,No,18.4
8/2/2016,Rathnapura,Weligepola,6.7182,80.3129,0,64,82,24.8,32.1,1.8,Forest,Plateau,No,No,No,8.9
2/20/2021,Rathnapura,Eheliyagoda,6.2992,80.2627,12.5,75,96,22.8,34.2,1.8,Urban,Valley,No,No,No,20.2
5/25/2016,Rathnapura,Pelmadulla,6.9826,80.6728,17.5,88,96,24.8,31.3,1.8,Forest,Plateau,No,No,No,12.5
4/10/2021,Rathnapura,Kolonna,6.2992,80.2627,10.7,71,95,23.7,35.6,1.5,Grassland,Mountain,No,No,No,8
6/13/2016,Rathnapura,Kalawana,6.6828,80.3992,5.1,81,95,23.7,30.4,2.7,Grassland,Plateau,No,No,No,10.1
10/5/2021,Rathnapura,Kolonna,6.6828,80.3992,66.1,96,98,23.6,26.1,2.1,Grassland,Mountain,No,No,No,18.4
1/7/2021,Rathnapura,Nivithigala,6.9826,80.6728,0,77,80,22.5,31.8,2.3,Grassland,Plateau,No,No,No,18.4
4/30/2016,Rathnapura,Balangoda,6.2829,80.7728,8.3,85,99,23.9,33,3.1,Forest,Plateau,No,No,No,16.7
7/5/2021,Rathnapura,Balangoda,6.3993,80.6283,7.1,77,96,23.1,33.9,2.5,Forest,Plateau,No,No,No,11.5
3/1/2021,Rathnapura,Nivithigala,6.3993,80.6283,0,61,95,23,34.7,3.1,Urban,Mountain,No,No,No,9.5
3/30/2016,Rathnapura,Pelmadulla,6.9826,80.6728,87.6,80,98,23,33.6,2.5,Grassland,Plateau,Yes,Flood,Medium,4.6
7/7/2021,Rathnapura,Godakawela,6.7182,80.3129,30.8,78,96,23.9,31.4,1.8,Forest,Plateau,No,No,No,11.2
